Reviewer_ID,Reviewer_Type,Location,Date,Price,Rating,Review_Title,Review_Text
67667448,Certified Buyer,Gurugram,6 months ago,"85,499",1,Worst experience ever!,"Beware of hype, its a phone that just has call logs for 3-4 days, it does not support truecaller. Its not a smartphone but a camera attached to a simple dial-up phone."
36465620,Certified Buyer,Bengaluru,11 months ago,"85,499",1,Unsatisfactory,"Faulty product, phone overheating during normal usage."
59696491,Certified Buyer,Kolhapur District,5 months ago,"85,499",1,Absolute rubbish!,"Don't buy this phone. Too many restrictions. Bad refund policy. I didn't like this phone so wanted return it but as per the policy, return is not applicable for open box delivery. If you really want to purchase it then please take real time reviews from your friends who are using iphones. It has worst battery than Android phone. Less features, bad gestures. Also you need to buy accessories like headphone, power adaptor separately, which are again costly. If you want to use 2 sims then you hav..."
84624759,Certified Buyer,New Delhi,7 months ago,"85,499",1,heating issue,heating issue & also not recognising face detection
15895771,Certified Buyer,Mumbai,6 months ago,"85,499",1,Not recommended at all,"I tried charging my phone last night for the first time, but after just 20 minutes of charging, the phone got really hot. Haven't charged it since."
98846862,Certified Buyer,Chittoor District,9 months ago,"85,499",1,Very poor,Worste experience i had. Signal reception problem and touch issues
60438916,Certified Buyer,Purulia,3 months ago,"85,499",1,Horrible,Wrost phone ever... Isse achha Nokia 3310 lelo
82283474,Certified Buyer,Parbhani,5 months ago,"85,499",1,Worst experience ever!,Charging issue Mo indicate charging when charger connected but there is no increase charging level And customer support not take seriously
95179745,Certified Buyer,Patna,6 months ago,"85,499",1,Worthless,my iphone 13 just got dead at 85% battery... just within 12hours of unboxing.... i havent even have any data and sim ... just used hardly for 2-3hours....
52557021,Certified Buyer,Ranchi,4 months ago,"85,499",1,Utterly Disappointed,Facing lots of problems really very very disappointed. Touch is not working. If video uploading option will be there than I can saw you the full video how it was working. I want to return this product
28849320,Certified Buyer,New Delhi,4 months ago,"85,499",1,Useless product,Waste of money better buy any 10k Android mobile full useless
95251451,Certified Buyer,Patna,4 months ago,"85,499",1,Horrible,Camera quality is not good at all.
34179833,Certified Buyer,Visakhapatnam,5 months ago,"85,499",1,Utterly Disappointed,Everything is good about the phone But the seller is worst I have booked S21 fe from the same seller on 23rd Sept Till date I did not receive it And even the Logistics team also The WORST
33795866,Certified Buyer,Rajkot,5 months ago,"85,499",1,Don't waste your money,Power issuesPhone Temprature high some time
38826425,Certified Buyer,Bhimavaram,1 month ago,"85,499",1,Did not meet expectations,I observed sound issue
33167191,Certified Buyer,Dehradun,2 months ago,"85,499",1,Terrible product,Very bad
91556245,Certified Buyer,Bengaluru,2 months ago,"85,499",1,Absolute rubbish!,Mobile was too heat
93060161,Certified Buyer,Puducherry,3 months ago,"85,499",1,Absolute rubbish!,Worst flipkart
38447735,Certified Buyer,Navi Mumbai,3 months ago,"85,499",1,Not recommended at all,So bad experience use of 1month and battery get swell. Not expected from iphone 😡💩💩
23294864,Certified Buyer,Bengaluru,4 months ago,"85,499",1,Hated it!,Colour chipping
79824487,Certified Buyer,Balangir District,4 months ago,"85,499",1,Waste of money!,After 1 month the phone is dead
62738626,Certified Buyer,Pune,4 months ago,"85,499",1,Useless product,Phone is getting heated during Norma use and charging Ideally heating issue should not be in such costly phonesThis is honest review using phone after a month
71135189,Certified Buyer,Kannur,4 months ago,"85,499",1,Hated it!,My phone sometimes hangs
28618860,Certified Buyer,Navi Mumbai,4 months ago,"85,499",1,Unsatisfactory,Worst experience from Flipkart.
15537786,Certified Buyer,Udhampur,4 months ago,"85,499",1,Utterly Disappointed,Online booking is very bad but.   My i phone only 5 month  running and then automatic switch of
13045474,Certified Buyer,Lucknow,4 months ago,"85,499",1,Hated it!,Very Bad
18130863,Certified Buyer,Sirka,5 months ago,"85,499",1,Terrible product,Too much heating after playing a video
15362954,Certified Buyer,Pimpri Chinchwad,5 months ago,"85,499",1,Horrible,"I bought this device from Flipkart, and the device is always getting warmed after 5 min of usage, I connected to apple support, and they reset my device but the issue is not resolved now they are saying need to repair this new device.Advice to apple:  As it's a new device apple should directly replace not ask to repair it."
83217872,Certified Buyer,New Delhi,5 months ago,"85,499",1,Unsatisfactory,Voice issue in phone since I purchased. Intermittently voice is not coming on cellular call. No proper support getting
42229754,Certified Buyer,Baripada,5 months ago,"85,499",1,Not recommended at all,Camera not so good in night
40197356,Certified Buyer,Muzaffarpur,5 months ago,"85,499",1,Very poor,very disappointed with this phone  after 10days phone got very warm 50degree celius heat and off waste of money
82095702,Certified Buyer,Ghaziabad,5 months ago,"85,499",1,Horrible,"Except camera and touch phone software is very outdated, you cannot even disconnect your incoming call through screen, you have to use power button for that."
15667139,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Horrible,"Camera stopped working from 3rd day , not acceptable by Apple and Flipkart , you cannot sale such products in the name of offering discounts"
83795104,Certified Buyer,Purba Bardhaman District,"Nov, 2021","85,499",1,Terrible product,Third class phone
14639134,Certified Buyer,Mumbai,"Oct, 2021","85,499",1,Unsatisfactory,Face ID not working defective.
38309990,Certified Buyer,Hanamkonda,5 months ago,"85,499",1,Worst experience ever!,Waste of money
25829298,Certified Buyer,Trichy,2 months ago,"85,499",1,Waste of money!,Worst phone.
55970741,Certified Buyer,Hyderabad,5 months ago,"85,499",1,Horrible,Phone is not accepting the password i set . Bad experience
99668781,Certified Buyer,Mumbai,5 months ago,"85,499",1,Absolute rubbish!,"Screen size is small..Pls dont go for it, it you are really habituated in using screen size of 6 inch or greater in andriod phone...You will be surely be disappointed..and regret for bad decision"
11149376,Certified Buyer,Dahej Sir,11 months ago,"85,499",1,Worthless,Network isuue
97052381,Certified Buyer,Churachandpur District,7 months ago,"85,499",1,Waste of money!,"iPhone is no use, apps updates are very slow i can't add credit card in my Gpay app,"
92730124,Certified Buyer,Dehradun,5 months ago,"85,499",1,Not recommended at all,Not worthy
72699687,Certified Buyer,Zirakpur,9 months ago,"85,499",1,Worthless,Facing issue while calling. Listener is not getting voice of the caller. This Might be a default product.
50885363,Certified Buyer,Mumbai,"Jan, 2022","85,499",1,Unsatisfactory,"The screen is going blank, not able to connect with call centre."
64170550,Certified Buyer,Suryapet,5 months ago,"85,499",1,Terrible product,Useless mobile
78851632,Certified Buyer,Akalgarh,7 months ago,"85,499",1,Hated it!,"Phone get hanged, and ultimately switched off within one month. Very bad experience. Hate it"
28963225,Certified Buyer,Indore,3 months ago,"85,499",1,Absolute rubbish!,Very slow device
49510945,Certified Buyer,Ghaziabad,4 months ago,"85,499",1,Utterly Disappointed,Front camera is not satisfactory...
26491185,Certified Buyer,Vasai Virar,4 months ago,"85,499",1,Very poor,Not worth it . Should have bought pixel instead . Very archaic software which is not very user friendly just kept in attempt to differentiate it from android.Camera is also not that great if you are not buying pro model. They have deliberately made the camera in 13 bad so that you will be tempted to buy pro
83924669,Certified Buyer,Kodala,4 months ago,"85,499",1,Not recommended at all,Not good
36063928,Certified Buyer,Coimbatore,5 months ago,"85,499",1,Did not meet expectations,From the first day.. Device heating like iron box
99224491,Certified Buyer,Muvattupuzha,5 months ago,"85,499",1,Worthless,Display not working after 1week. Very disappointed.
42003971,Certified Buyer,Kolkata,5 months ago,"85,499",1,Unsatisfactory,Nice phone. But really disappointed by Flipkart as placing order during the BBD sale was a worst experience. Tried continuously for 2hrs then I was able to get my order placed.
65584641,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Hated it!,Phone performance is not goodphone getting stuck with small gameEven if you are playing small game regularly battery drained within some hour i was wondering if we play some big game i think phone will not sustain.Also i have touch issue as well..when i am trying to close any app or back button.it won t respond in one clickPhone also have heat issue while charging.
71399179,Certified Buyer,Chinsurah,5 months ago,"85,499",1,Not recommended at all,Not user friendly
78098457,Certified Buyer,Guwahati,5 months ago,"85,499",1,Useless product,heating issue.
24943477,Certified Buyer,Chennai,5 months ago,"85,499",1,Not recommended at all,Face ID was not working
29906355,Certified Buyer,Indore,5 months ago,"85,499",1,Unsatisfactory,"Worst Camera quality:1. Very bad in low light selfie camera.2. Looks like 10k phone camera, even my last phone camera realme 7 pro was best."
42555511,Certified Buyer,Mumbai,5 months ago,"85,499",1,Hated it!,iPhone 13 is heating on charging
75901851,Certified Buyer,Amravati District,7 months ago,"85,499",1,Not recommended at all,Wireless charging not working
64865688,Certified Buyer,Palakkad,6 months ago,"85,499",1,Waste of money!,Desing is very bad
48244444,Certified Buyer,Noida,6 months ago,"85,499",1,Terrible product,Black looks horrible.
33874390,Certified Buyer,Bengaluru,4 months ago,"85,499",1,Did not meet expectations,Drastic battery draining even without use of any apps
20012874,Certified Buyer,Gurgaon,5 months ago,"85,499",1,Hated it!,Camera not functioning properly in night mode.
99471781,Certified Buyer,Orai,6 months ago,"85,499",1,Don't waste your money,Camera quality to poor
35432069,Certified Buyer,Navi Mumbai,6 months ago,"85,499",1,Worthless,buy is useless no any back botton and extra features
72406011,Certified Buyer,Barbil,4 months ago,"85,499",1,Absolute rubbish!,"Not a great screen and bettery backup, u can compare side by side with a amo led screen. Money is for only brand .. nothing else"
96917520,Certified Buyer,Mayyanad,11 months ago,"85,499",1,Worst experience ever!,Lite
87776991,Certified Buyer,Moradabad,5 months ago,"85,499",1,Very poor,Slow phone for 120htz user please don't buy
30619375,Certified Buyer,Sonipat,4 days ago,"85,499",1,Absolute rubbish!,2nd Sim was not working.
17603425,Certified Buyer,Pithampur,5 days ago,"85,499",1,Very poor,Very bad
27416332,Certified Buyer,Kolkata,5 days ago,"85,499",1,Don't waste your money,Hangs a lot. Every app hangs
62938421,Certified Buyer,South West Delhi,6 days ago,"85,499",1,Not recommended at all,Highly overrated! High priced! Sluggish ans waste of money! If you really admire iphone and you have money to buy then go for pro!all options except pro is useless. regretting waste!
60086124,Certified Buyer,Dehradun,10 days ago,"85,499",1,Worst experience ever!,I got a crappy product and then the invoice is also not getting downloaded. It shows that it is corrupted. On top of that the executive doesn't hv anything to support me and when I asked to change my email id they say I need to send my pan card on an email for the same. What kind of nonsense show are u guys running. The phone has gone bad in just 3 months not getting started only.
70296940,Certified Buyer,Ghaziabad,14 days ago,"85,499",1,Very poor,Purchase yesterday and faving issues like face ID is not working properly and phone got switched off
84670058,Certified Buyer,Noida,21 days ago,"85,499",1,Hated it!,Defective item received heating issue and battery issue
47727410,Certified Buyer,Sanjan,1 month ago,"85,499",1,Hated it!,In just 2 days phone getting heated and switch off automatically third class quality in apple phone
93467797,Certified Buyer,New Delhi,1 month ago,"85,499",1,Did not meet expectations,Touch Screen not properly work And network issue problem
28687351,Certified Buyer,Azamgarh,1 month ago,"85,499",1,Super!,"Awesome product ,13display is bit shorter than 11 but overall performance is marvelous.."
86315864,Certified Buyer,Jhansi,1 month ago,"85,499",1,Terrible product,Product is good but exchange value is not good
67519478,Certified Buyer,Shahid Bhagat Singh Nagar District,1 month ago,"85,499",1,Worthless,Display giving hollow sound like cheap plastic
35079066,Certified Buyer,Bhopal,1 month ago,"85,499",1,Horrible,"Phone is hanging, some apps crashed on it's own, problem in connectivity of wifi and hotspot.Highly disappointed with the performance.I bought it in big billion day sale, now I doubt about the authenticity of the product"
14815939,Certified Buyer,Udalguri,1 month ago,"85,499",1,Hated it!,Battery health decrease itself
51943721,Certified Buyer,Bangalore,1 month ago,"85,499",1,Useless product,I lost my iPhone 😢
75773900,Certified Buyer,New Delhi,1 month ago,"85,499",1,Hated it!,Wrost Phone
29607395,Certified Buyer,New Town,2 months ago,"85,499",1,Not recommended at all,Very bad camera n battery
85441484,Certified Buyer,Haldwani,2 months ago,"85,499",1,Not recommended at all,Battery performance very poor 1 day 2 time charges
87677957,Certified Buyer,Navi Mumbai,2 months ago,"85,499",1,Worst experience ever!,Product is owsm but Flipkart delivery was so worst ever
89645486,Certified Buyer,Mettur,2 months ago,"85,499",1,Did not meet expectations,My phone buy 3 month not working
42464056,Certified Buyer,Nahan,2 months ago,"85,499",1,Did not meet expectations,Don't buy this online ...i m currently facing screen issue due to bugs...it just killled my fon ...these bugs issue is worst ... Its .uselesss
32971554,Certified Buyer,Lucknow,2 months ago,"85,499",1,Absolute rubbish!,Very bad experience
26330470,Certified Buyer,Kapurthala District,2 months ago,"85,499",1,Utterly Disappointed,Lock Button got stuck in 1 month
30717275,Certified Buyer,Kolkata,2 months ago,"85,499",1,Horrible,"There is sound issues , manufacturing issues from the starting day."
25073788,Certified Buyer,Mahindra World City,2 months ago,"85,499",1,Very poor,While charging heating. Unsatisfied with IPhone
82162275,Certified Buyer,Gurugram,2 months ago,"85,499",1,Utterly Disappointed,Okay
51821750,Certified Buyer,New Delhi,3 months ago,"85,499",1,Don't waste your money,Battery performance is very poor
29787309,Certified Buyer,Anantnag,4 months ago,"85,499",1,Terrible product,Call sensor for blacklight while calling not working properly... And battery backup worstest from new update.
38560945,Certified Buyer,New Delhi,4 months ago,"85,499",1,Did not meet expectations,not bad
20913418,Certified Buyer,Begusarai,4 months ago,"85,499",1,Worthless,Not bad but remember never use vpn in this device. Best for showoff and gaming either not for used if u want camera dont buy this phone.
80997966,Certified Buyer,Mohali,4 months ago,"85,499",1,Did not meet expectations - Fraudulent Practices by Flipkart,Pathetic
54093940,Certified Buyer,Natrampalli,4 months ago,"85,499",1,Unsatisfactory,"With in a month the Phone speaker is giving some annoying noise, really disappointed with the Flipkart product"
43050720,Certified Buyer,Kolkata,4 months ago,"85,499",1,Hated it!,There's nothing issue with the Phone. But Flipkart just cheated me. While buying the phone it was showing bank card cashback but later on I didn't get any cashback. My suggestion would be don't get into there easy EMI or Cashback traps...Flipkart is now a Cheater
86287534,Certified Buyer,Satghara,4 months ago,"85,499",1,Worthless,Bad mobile ios
32264909,Certified Buyer,Kota,4 months ago,"85,499",1,Worst experience ever!,Not upto the mark
26473906,Certified Buyer,Kannur District,4 months ago,"85,499",1,Utterly Disappointed,The is too bad i got a product with hardware problem. Third day it is unexpectedly restarting in every 3 min.
22314335,Certified Buyer,Cuttack,4 months ago,"85,499",1,Waste of money!,I purchased this phone 3 months back and after upgrading to 6 I have observed the display going black when I get a call.
54549859,Certified Buyer,Kalyan,4 months ago,"85,499",1,Unsatisfactory,Mobile get hit or hot every time of charging
13595303,Certified Buyer,Warangal,4 months ago,"85,499",1,Useless product,Waste battery life felling useless😒
61176171,Certified Buyer,Bhawanipatna,4 months ago,"85,499",1,Don't waste your money,"My bad luck, 100% full charge 4/5 hours."
58830200,Certified Buyer,Atchutapuram Apsez,4 months ago,"85,499",1,Did not meet expectations,"Hai,very bad experience from iphone and flipkart,my new iphone 13 just 20 days used, suddenly display not working.. tried to switch on but no response..cannt except these type of issues from iphone"
96959563,Certified Buyer,Ghaziabad,4 months ago,"85,499",1,Useless product,Bettry not batter then android baki sb ok
26731650,Certified Buyer,Noida,4 months ago,"85,499",1,Not recommended at all,Problem in camera. Pictures is blur through iphone 13. After visit apple store the problem is as earlier
46302126,Certified Buyer,Nalanda District,4 months ago,"85,499",1,Very poor,Phone bad quility
71297496,Certified Buyer,Moradabad,4 months ago,"85,499",1,Unsatisfactory,Better is very low power
62058783,Certified Buyer,Numaligarh Refinery Township,4 months ago,"85,499",1,Did not meet expectations,Touch issue showing.... Some time
24295516,Certified Buyer,Dehradun,4 months ago,"85,499",1,Worthless,After 1 month battery health fall to 98%
46929246,Certified Buyer,Faridabad,4 months ago,"85,499",1,Don't waste your money,Battery problems I use iPhone but this phone very Dall battery
31375136,Certified Buyer,Dibrugarh,4 months ago,"85,499",1,Horrible,"I bought this during big billion day for 52k, i hate Flipkart for sending me defective product. Phone gets heated like getting pan during charging also phone gets stuck a lot of times after 15days of usage."
25458239,Certified Buyer,Samastipur,4 months ago,"85,499",1,Waste of money!,Not good
56699397,Certified Buyer,Hyderabad,4 months ago,"85,499",1,Did not meet expectations,"Wrost customer service,unexpected response from flipkart. Fully regretted,I will uninstall the application and don't want to use flipkart. Waste of time,there is no humanity,entire flipkart support is wrost.no moral values to all flipkart  team.."
52196182,Certified Buyer,Pimpri Chinchwad,4 months ago,"85,499",1,Not recommended at all,Bed experience from Flipkart .not suggest to any one to use this site
90394404,Certified Buyer,Guwahati,4 months ago,"85,499",1,Waste of money!,Very costly and not so functional
36019248,Certified Buyer,Bengaluru,4 months ago,"85,499",1,Utterly Disappointed,Not good
77100867,Certified Buyer,Bikramganj,4 months ago,"85,499",1,Useless product,don't buy this product my mobile got damaged within 2 days
55269135,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Useless product,Phone is not at good
53171804,Certified Buyer,Dehradun,5 months ago,"85,499",1,Did not meet expectations,Voice system very bad. Can't hear during calls. Very disturbance is created.
50264089,Certified Buyer,Trivandrum,5 months ago,"85,499",1,Waste of money!,"The exchange policy is utter fake,If we still produce a new phoneThey will still call it defected and Will decrease the exchange valueStill it's based on the wishmasterWe can't question them"
55959631,Certified Buyer,Chincholi Midc,5 months ago,"85,499",1,Don't waste your money,Display very slow scrolling
98009471,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Unsatisfactory,Phone is getting stuck while calling and making payments through phonepay or google pay
51803923,Certified Buyer,Orai,5 months ago,"85,499",1,Did not meet expectations,Camera quality very poor
76991626,Certified Buyer,Greater Noida,5 months ago,"85,499",1,Worst experience ever!,Not good mobile profamance
40964969,Certified Buyer,Mira Bhayandar,5 months ago,"85,499",1,Did not meet expectations,Facing hang issue always
92369901,Certified Buyer,Ludhiana,5 months ago,"85,499",1,Useless product,Hate it
18177724,Certified Buyer,Visakhapatnam,5 months ago,"85,499",1,Not recommended at all,Bettery waste
93279799,Certified Buyer,Pimpri Chinchwad,5 months ago,"85,499",1,Terrible product,"Heating issue during charging, iPhone replaced by flipkart  but still heating issue not solved"
59645062,Certified Buyer,Hyderabad,5 months ago,"85,499",1,Worthless,Worst
84103649,Certified Buyer,Udaipur,5 months ago,"85,499",1,Worthless,Display vibration sometimes ☹️☹️
57948651,Certified Buyer,Bhopal,5 months ago,"85,499",1,Useless product,Pathetic
28123829,Certified Buyer,Navi Mumbai,5 months ago,"85,499",1,Worst experience ever!,Display and body gap
95590010,Certified Buyer,Haldia,5 months ago,"85,499",1,Waste of money!,Worst product
43045301,Certified Buyer,Udhampur,5 months ago,"85,499",1,Useless product,Our foolishness to buy iphone 13 or any Iphone even after company'stopped giving charger within pack. Its shame for all of us
53343094,Certified Buyer,Panipat,5 months ago,"85,499",1,Terrible product,Slower tha android
17789997,Certified Buyer,Rampurhat,5 months ago,"85,499",1,Worst experience ever!,"Very bad product, don't buy it !"
49526386,Certified Buyer,Dohad District,5 months ago,"85,499",1,Horrible,Using time phone heating
24961836,Certified Buyer,Pune,5 months ago,"85,499",1,Waste of money!,camera heating issues and performance issues
59514232,Certified Buyer,Hyderabad,5 months ago,"85,499",1,Useless product,Average mobile
83832918,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Absolute rubbish!,The brightness of the phone is too low even when the bar is fully dragged.Its less as compared to iphone 12
33224619,Certified Buyer,Kolkata,5 months ago,"85,499",1,Absolute rubbish!,"Cable damaged, not working"
92322684,Certified Buyer,Bangalore Urban,5 months ago,"85,499",1,Waste of money!,Damaged product
93360830,Certified Buyer,Hyderabad,5 months ago,"85,499",1,Worthless,The product is not original. I was delivered a defective piece where the phone doesnot charge at times though it shiws the charging symbol.I am using a brand new apple charger and defenitely there is an issue with the phone
